study_accession	n_runs	reference	run_accession	checked_runs	library_layout
ERP003431	12	Institut Pasteur 2-Jul-2013	ERR299572	yes	paired
ERP003431	12	Institut Pasteur 2-Jul-2013	ERR299574	yes	paired
ERP003431	12	Institut Pasteur 2-Jul-2013	ERR299576	yes	paired
ERP003431	12	Institut Pasteur 2-Jul-2013	ERR299578	yes	paired
ERP003431	12	Institut Pasteur 2-Jul-2013	ERR299580	yes	paired
ERP003431	12	Institut Pasteur 2-Jul-2013	ERR299582	yes	paired
ERP003431	12	Institut Pasteur 2-Jul-2013	ERR299584	yes	paired
ERP003431	12	Institut Pasteur 2-Jul-2013	ERR299586	yes	paired
ERP003431	12	Institut Pasteur 2-Jul-2013	ERR299588	yes	paired
ERP003431	12	Institut Pasteur 2-Jul-2013	ERR299590	yes	paired
ERP003431	12	Institut Pasteur 2-Jul-2013	ERR299592	yes	paired
ERP003431	12	Institut Pasteur 2-Jul-2013	ERR299594	yes	paired
SRP008146	20	"(Haynes, 2011, 10.1371/jourl.ppat.1002411.)"	SRR342865	yes	single
SRP008146	20	"(Haynes, 2011, 10.1371/jourl.ppat.1002411.)"	SRR342866	yes	single
SRP008146	20	"(Haynes, 2011, 10.1371/jourl.ppat.1002411.)"	SRR342867	yes	single
SRP008146	20	"(Haynes, 2011, 10.1371/jourl.ppat.1002411.)"	SRR342868	yes	single
SRP008146	20	"(Haynes, 2011, 10.1371/jourl.ppat.1002411.)"	SRR342869	yes	single
SRP008146	20	"(Haynes, 2011, 10.1371/jourl.ppat.1002411.)"	SRR342870	yes	single
SRP008146	20	"(Haynes, 2011, 10.1371/jourl.ppat.1002411.)"	SRR342871	yes	single
SRP008146	20	"(Haynes, 2011, 10.1371/jourl.ppat.1002411.)"	SRR342872	yes	single
SRP008146	20	"(Haynes, 2011, 10.1371/jourl.ppat.1002411.)"	SRR342873	yes	single
SRP008146	20	"(Haynes, 2011, 10.1371/jourl.ppat.1002411.)"	SRR342874	yes	single
SRP008146	20	"(Haynes, 2011, 10.1371/jourl.ppat.1002411.)"	SRR342875	yes	single
SRP008146	20	"(Haynes, 2011, 10.1371/jourl.ppat.1002411.)"	SRR342876	yes	single
SRP008146	20	"(Haynes, 2011, 10.1371/jourl.ppat.1002411.)"	SRR342877	yes	single
SRP008146	20	"(Haynes, 2011, 10.1371/jourl.ppat.1002411.)"	SRR342878	yes	single
SRP008146	20	"(Haynes, 2011, 10.1371/jourl.ppat.1002411.)"	SRR342879	yes	single
SRP008146	20	"(Haynes, 2011, 10.1371/jourl.ppat.1002411.)"	SRR342880	yes	single
SRP008146	20	"(Haynes, 2011, 10.1371/jourl.ppat.1002411.)"	SRR342881	yes	single
SRP008146	20	"(Haynes, 2011, 10.1371/jourl.ppat.1002411.)"	SRR342882	yes	single
SRP008146	20	"(Haynes, 2011, 10.1371/jourl.ppat.1002411.)"	SRR342883	yes	single
SRP008146	20	"(Haynes, 2011, 10.1371/jourl.ppat.1002411.)"	SRR342884	yes	single
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR639771	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR563267	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR563176	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR563221	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR649819	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR554153	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR554206	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR646264	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR563153	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR563082	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR563095	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR649806	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR554166	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR554220	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR563154	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR563183	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR554174	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR563223	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR563074	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR554237	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR563196	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR563276	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR563225	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR649776	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR649817	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR554139	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR554199	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR646268	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR563220	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR563268	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR563175	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR649789	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR554154	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR554205	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR653699	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR653716	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR646267	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR563217	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR563190	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR563177	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR649818	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR554185	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR554242	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR646265	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR563181	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR563197	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR563224	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR649787	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR554182	yes	paired
SRP015456	50	"(Janbon, 2014, 10.1371/jourl.pgen.1004261)"	SRR554246	yes	paired
SRP041551	48	"(Chang, 2013, 10.1371/jourl.pgen.1004292)"	SRR1270935	yes	paired
SRP041551	48	"(Chang, 2013, 10.1371/jourl.pgen.1004292)"	SRR1270936	yes	paired
SRP041551	48	"(Chang, 2013, 10.1371/jourl.pgen.1004292)"	SRR1270937	yes	paired
SRP041551	48	"(Chang, 2013, 10.1371/jourl.pgen.1004292)"	SRR1270938	yes	paired
SRP041551	48	"(Chang, 2013, 10.1371/jourl.pgen.1004292)"	SRR1270939	yes	paired
SRP041551	48	"(Chang, 2013, 10.1371/jourl.pgen.1004292)"	SRR1270940	yes	paired
SRP041551	48	"(Chang, 2013, 10.1371/jourl.pgen.1004292)"	SRR1270941	yes	paired
SRP041551	48	"(Chang, 2013, 10.1371/jourl.pgen.1004292)"	SRR1270942	yes	paired
SRP041551	48	"(Chang, 2013, 10.1371/jourl.pgen.1004292)"	SRR1270943	yes	paired
SRP041551	48	"(Chang, 2013, 10.1371/jourl.pgen.1004292)"	SRR1270944	yes	paired
SRP041551	48	"(Chang, 2013, 10.1371/jourl.pgen.1004292)"	SRR1270945	yes	paired
SRP041551	48	"(Chang, 2013, 10.1371/jourl.pgen.1004292)"	SRR1270946	yes	paired
SRP041551	48	"(Chang, 2013, 10.1371/jourl.pgen.1004292)"	SRR1270947	yes	paired
SRP041551	48	"(Chang, 2013, 10.1371/jourl.pgen.1004292)"	SRR1270948	yes	paired
SRP041551	48	"(Chang, 2013, 10.1371/jourl.pgen.1004292)"	SRR1270949	yes	paired
SRP041551	48	"(Chang, 2013, 10.1371/jourl.pgen.1004292)"	SRR1270950	yes	paired
SRP041551	48	"(Chang, 2013, 10.1371/jourl.pgen.1004292)"	SRR1270951	yes	paired
SRP041551	48	"(Chang, 2013, 10.1371/jourl.pgen.1004292)"	SRR1270952	yes	paired
SRP041551	48	"(Chang, 2013, 10.1371/jourl.pgen.1004292)"	SRR1270953	yes	paired
SRP041551	48	"(Chang, 2013, 10.1371/jourl.pgen.1004292)"	SRR1270954	yes	paired
SRP041551	48	"(Chang, 2013, 10.1371/jourl.pgen.1004292)"	SRR1270955	yes	paired
SRP041551	48	"(Chang, 2013, 10.1371/jourl.pgen.1004292)"	SRR1270956	yes	paired
SRP041551	48	"(Chang, 2013, 10.1371/jourl.pgen.1004292)"	SRR1270957	yes	paired
SRP041551	48	"(Chang, 2013, 10.1371/jourl.pgen.1004292)"	SRR1270958	yes	paired
SRP041551	48	"(Chang, 2013, 10.1371/jourl.pgen.1004292)"	SRR1270959	yes	paired
SRP041551	48	"(Chang, 2013, 10.1371/jourl.pgen.1004292)"	SRR1270960	yes	paired
SRP041551	48	"(Chang, 2013, 10.1371/jourl.pgen.1004292)"	SRR1270961	yes	paired
SRP041551	48	"(Chang, 2013, 10.1371/jourl.pgen.1004292)"	SRR1270962	yes	paired
SRP041551	48	"(Chang, 2013, 10.1371/jourl.pgen.1004292)"	SRR1270963	yes	paired
