study_accession	taxon_id	study_title	n	Reference	PI	Comment
SRP045488	5207	Model-driven mapping of transcriptional networks reveals the circuitry and dynamics of virulence regulation	354	"(Maier, 2015, 10.1101/gr.184101.114)
(Gish, 2016, 10.1128/mBio.00313-16)"	Tamara L Doering, Michael R Brent	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
NA	NA	NA	78	NA	NA	NA
