study_accession	run_accession	library_strategy
SRP212774	SRR9627063	PAIRED
SRP212774	SRR9627067	PAIRED
SRP212774	SRR9627071	PAIRED
SRP212774	SRR9627075	PAIRED
SRP212774	SRR9627079	PAIRED
SRP212774	SRR9627083	PAIRED
SRP212774	SRR9627087	PAIRED
SRP212774	SRR9627091	PAIRED
SRP212774	SRR9627095	PAIRED
SRP212774	SRR9627099	PAIRED
SRP212774	SRR9627103	PAIRED
SRP212774	SRR9627107	PAIRED
SRP015456	SRR639771	PAIRED
SRP015456	SRR563267	PAIRED
SRP015456	SRR563176	PAIRED
SRP015456	SRR563221	PAIRED
SRP015456	SRR649819	PAIRED
SRP015456	SRR554153	PAIRED
SRP015456	SRR554206	PAIRED
SRP015456	SRR646264	PAIRED
SRP015456	SRR563153	PAIRED
SRP015456	SRR563082	PAIRED
SRP015456	SRR563095	PAIRED
SRP015456	SRR649806	PAIRED
SRP015456	SRR554166	PAIRED
SRP015456	SRR554220	PAIRED
SRP015456	SRR563154	PAIRED
SRP015456	SRR563183	PAIRED
SRP015456	SRR554174	PAIRED
SRP015456	SRR563223	PAIRED
SRP015456	SRR563074	PAIRED
SRP015456	SRR554237	PAIRED
SRP015456	SRR563196	PAIRED
SRP015456	SRR563276	PAIRED
SRP015456	SRR563225	PAIRED
SRP015456	SRR649776	PAIRED
SRP015456	SRR649817	PAIRED
SRP015456	SRR554139	PAIRED
SRP015456	SRR554199	PAIRED
SRP015456	SRR646268	PAIRED
SRP015456	SRR563220	PAIRED
SRP015456	SRR563268	PAIRED
SRP015456	SRR563175	PAIRED
SRP015456	SRR649789	PAIRED
SRP015456	SRR554154	PAIRED
SRP015456	SRR554205	PAIRED
SRP015456	SRR653699	PAIRED
SRP015456	SRR653716	PAIRED
SRP015456	SRR646267	PAIRED
SRP015456	SRR563217	PAIRED
SRP015456	SRR563190	PAIRED
SRP015456	SRR563177	PAIRED
SRP015456	SRR649818	PAIRED
SRP015456	SRR554185	PAIRED
SRP015456	SRR554242	PAIRED
SRP015456	SRR646265	PAIRED
SRP015456	SRR563181	PAIRED
SRP015456	SRR563197	PAIRED
SRP015456	SRR563224	PAIRED
SRP015456	SRR649787	PAIRED
SRP015456	SRR554182	PAIRED
SRP015456	SRR554246	PAIRED
SRP253688	SRR11391593	SINGLE
SRP253688	SRR11391594	SINGLE
SRP253688	SRR11391595	SINGLE
SRP253688	SRR11391596	SINGLE
SRP253688	SRR11391597	SINGLE
SRP253688	SRR11391598	SINGLE
SRP253688	SRR11391599	SINGLE
SRP253688	SRR11391600	SINGLE
SRP253688	SRR11391601	SINGLE
SRP253688	SRR11391602	SINGLE
SRP253688	SRR11391603	SINGLE
SRP253688	SRR11391604	SINGLE
SRP253688	SRR11391605	SINGLE
SRP253688	SRR11391606	SINGLE
SRP253688	SRR11391607	SINGLE
SRP253688	SRR11391608	SINGLE
SRP253688	SRR11391609	SINGLE
SRP253688	SRR11391610	SINGLE
SRP253688	SRR11391611	SINGLE
SRP253688	SRR11391612	SINGLE
SRP253688	SRR11391613	SINGLE
SRP253688	SRR11391614	SINGLE
SRP253688	SRR11391615	SINGLE
SRP253688	SRR11391616	SINGLE
SRP253688	SRR11391617	SINGLE
SRP253688	SRR11391618	SINGLE
SRP253688	SRR11391619	SINGLE
SRP253688	SRR11391620	SINGLE
SRP253688	SRR11391621	SINGLE
SRP253688	SRR11391622	SINGLE
SRP253688	SRR11391623	SINGLE
SRP253688	SRR11391624	SINGLE
SRP253688	SRR11391625	SINGLE
SRP253688	SRR11391626	SINGLE
SRP253688	SRR11391627	SINGLE
SRP253688	SRR11391628	SINGLE
SRP253688	SRR11391629	SINGLE
SRP253688	SRR11391630	SINGLE
SRP253688	SRR11391631	SINGLE
SRP253688	SRR11391632	SINGLE
SRP253688	SRR11391633	SINGLE
SRP253688	SRR11391634	SINGLE
SRP253688	SRR11391635	SINGLE
SRP253688	SRR11391636	SINGLE
SRP253688	SRR11391637	SINGLE
SRP253688	SRR11391638	SINGLE
SRP253688	SRR11391639	SINGLE
SRP253688	SRR11391640	SINGLE
SRP253688	SRR11391641	SINGLE
SRP253688	SRR11391642	SINGLE
SRP253688	SRR11391643	SINGLE
SRP253688	SRR11391644	SINGLE
SRP150918	SRR7384078	PAIRED
SRP150918	SRR7384079	PAIRED
