cnag_id	organism	gene_product	transcript_product	location	length	sequence_SO	SO	is_pseudo	variant
>CNAG_00001-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein	hypothetical protein	CP003820.1:11060-11501(-)	568	chromosome	protein_coding	FALSE	t26_1
>CNAG_00002-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein	hypothetical protein	CP003820.1:12800-13578(+)	835	chromosome	protein_coding	FALSE	t26_1
>CNAG_00003-t26_1	Cryptococcus_neoformans_var._grubii_H99	drug transporter	drug transporter	CP003820.1:14115-16370(-)	1752	chromosome	protein_coding	FALSE	t26_1
>CNAG_00004-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein	hypothetical protein	CP003820.1:16736-19388(-)	2576	chromosome	protein_coding	FALSE	t26_1
>CNAG_00005-t26_1	Cryptococcus_neoformans_var._grubii_H99	TPR repeat-containing protein	TPR repeat-containing protein	CP003820.1:20906-22642(-)	2354	chromosome	protein_coding	FALSE	t26_1
>CNAG_00006-t26_1	Cryptococcus_neoformans_var._grubii_H99	prohibitin-2	prohibitin-2	CP003820.1:24790-26105(-)	1250	chromosome	protein_coding	FALSE	t26_1
>CNAG_00007-t26_1	Cryptococcus_neoformans_var._grubii_H99	methionine-tRNA ligase	methionine-tRNA ligase	CP003820.1:26374-28447(+)	1965	chromosome	protein_coding	FALSE	t26_1
>CNAG_00008-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein	hypothetical protein	CP003820.1:28619-32831(-)	3655	chromosome	protein_coding	FALSE	t26_1
>CNAG_00009-t26_1	Cryptococcus_neoformans_var._grubii_H99	calcium-binding protein	calcium-binding protein	CP003820.1:33159-34577(+)	1453	chromosome	protein_coding	FALSE	t26_1
>CNAG_00010-t26_1	Cryptococcus_neoformans_var._grubii_H99	cation transporter	cation transporter	CP003820.1:36020-39419(-)	3647	chromosome	protein_coding	FALSE	t26_1
>CNAG_00011-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein	hypothetical protein	CP003820.1:40321-42079(+)	1243	chromosome	protein_coding	FALSE	t26_1
>CNAG_00012-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein	hypothetical protein	CP003820.1:43365-44818(+)	1367	chromosome	protein_coding	FALSE	t26_1
>CNAG_00013-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein, hypothetical protein, variant 1, hypothetical protein, variant 2	hypothetical protein	CP003820.1:45340-46007(-)	2386	chromosome	protein_coding	FALSE	t26_1
>CNAG_00013-t26_2	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein, hypothetical protein, variant 1, hypothetical protein, variant 2	hypothetical protein, variant 1	CP003820.1:45340-46007(-)	2389	chromosome	protein_coding	FALSE	t26_2
>CNAG_00013-t26_3	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein, hypothetical protein, variant 1, hypothetical protein, variant 2	hypothetical protein, variant 2	CP003820.1:45340-46007(-)	2530	chromosome	protein_coding	FALSE	t26_3
>CNAG_00014-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein	hypothetical protein	CP003820.1:46824-48841(+)	2690	chromosome	protein_coding	FALSE	t26_1
>CNAG_00015-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein	hypothetical protein	CP003820.1:50476-51193(+)	1273	chromosome	protein_coding	FALSE	t26_1
>CNAG_00016-t26_1	Cryptococcus_neoformans_var._grubii_H99	U6 snRNA-associated Sm-like protein LSm5	U6 snRNA-associated Sm-like protein LSm5	CP003820.1:53388-54027(+)	943	chromosome	protein_coding	FALSE	t26_1
>CNAG_00017-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein	hypothetical protein	CP003820.1:54702-57423(-)	2903	chromosome	protein_coding	FALSE	t26_1
>CNAG_00018-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein	hypothetical protein	CP003820.1:59229-61865(+)	2583	chromosome	protein_coding	FALSE	t26_1
>CNAG_00019-t26_1	Cryptococcus_neoformans_var._grubii_H99	mitochondrial import inner membrane translocase subunit tim9	mitochondrial import inner membrane translocase subunit tim9	CP003820.1:62033-62415(-)	648	chromosome	protein_coding	FALSE	t26_1
>CNAG_00020-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein	hypothetical protein	CP003820.1:62588-66221(+)	3270	chromosome	protein_coding	FALSE	t26_1
>CNAG_00021-t26_1	Cryptococcus_neoformans_var._grubii_H99	S-adenosylmethionine decarboxylase proenzyme	S-adenosylmethionine decarboxylase proenzyme	CP003820.1:66948-68523(-)	1882	chromosome	protein_coding	FALSE	t26_1
>CNAG_00022-t26_1	Cryptococcus_neoformans_var._grubii_H99	cytochrome c heme-lyase	cytochrome c heme-lyase	CP003820.1:69162-70126(-)	1092	chromosome	protein_coding	FALSE	t26_1
>CNAG_00023-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein	hypothetical protein	CP003820.1:70438-71659(-)	1576	chromosome	protein_coding	FALSE	t26_1
>CNAG_00024-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein, hypothetical protein, variant 1, hypothetical protein, variant 2	hypothetical protein	CP003820.1:74340-76760(+)	3830	chromosome	protein_coding	FALSE	t26_1
>CNAG_00024-t26_2	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein, hypothetical protein, variant 1, hypothetical protein, variant 2	hypothetical protein, variant 1	CP003820.1:74340-76871(+)	3752	chromosome	protein_coding	FALSE	t26_2
>CNAG_00024-t26_3	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein, hypothetical protein, variant 1, hypothetical protein, variant 2	hypothetical protein, variant 2	CP003820.1:74340-76760(+)	3770	chromosome	protein_coding	FALSE	t26_3
>CNAG_00025-t26_1	Cryptococcus_neoformans_var._grubii_H99	vacuolar calcium exchanger	vacuolar calcium exchanger	CP003820.1:78201-80634(-)	3090	chromosome	protein_coding	FALSE	t26_1
>CNAG_00025-t26_2	Cryptococcus_neoformans_var._grubii_H99	vacuolar calcium exchanger	vacuolar calcium exchanger	CP003820.1:78201-80580(-)	3165	chromosome	protein_coding	FALSE	t26_2
>CNAG_00026-t26_1	Cryptococcus_neoformans_var._grubii_H99	kynurenine aminotransferase, kynurenine aminotransferase, variant	kynurenine aminotransferase, variant	CP003820.1:81301-82983(-)	1539	chromosome	protein_coding	FALSE	t26_1
>CNAG_00026-t26_2	Cryptococcus_neoformans_var._grubii_H99	kynurenine aminotransferase, kynurenine aminotransferase, variant	kynurenine aminotransferase	CP003820.1:81301-82983(-)	1611	chromosome	protein_coding	FALSE	t26_2
>CNAG_00027-t26_1	Cryptococcus_neoformans_var._grubii_H99	transcriptional activator	transcriptional activator	CP003820.1:84072-86655(+)	3380	chromosome	protein_coding	FALSE	t26_1
>CNAG_00028-t26_1	Cryptococcus_neoformans_var._grubii_H99	high-affinity nicotinic acid transporter, high-affinity nicotinic acid transporter, variant	high-affinity nicotinic acid transporter	CP003820.1:87815-89843(-)	1855	chromosome	protein_coding	FALSE	t26_1
>CNAG_00028-t26_2	Cryptococcus_neoformans_var._grubii_H99	high-affinity nicotinic acid transporter, high-affinity nicotinic acid transporter, variant	high-affinity nicotinic acid transporter, variant	CP003820.1:87815-89843(-)	1919	chromosome	protein_coding	FALSE	t26_2
>CNAG_00029-t26_1	Cryptococcus_neoformans_var._grubii_H99	D-3-phosphoglycerate dehydrogenase	D-3-phosphoglycerate dehydrogenase	CP003820.1:90490-91786(+)	1285	chromosome	protein_coding	FALSE	t26_1
>CNAG_00030-t26_1	Cryptococcus_neoformans_var._grubii_H99	D-3-phosphoglycerate dehydrogenase, D-3-phosphoglycerate dehydrogenase, variant	D-3-phosphoglycerate dehydrogenase	CP003820.1:92137-93365(+)	1131	chromosome	protein_coding	FALSE	t26_1
>CNAG_00030-t26_2	Cryptococcus_neoformans_var._grubii_H99	D-3-phosphoglycerate dehydrogenase, D-3-phosphoglycerate dehydrogenase, variant	D-3-phosphoglycerate dehydrogenase, variant	CP003820.1:92137-93365(+)	1092	chromosome	protein_coding	FALSE	t26_2
>CNAG_00031-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein, hypothetical protein, variant	hypothetical protein, variant	CP003820.1:93506-96545(-)	3039	chromosome	protein_coding	FALSE	t26_1
>CNAG_00031-t26_2	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein, hypothetical protein, variant	hypothetical protein	CP003820.1:93506-96545(-)	3063	chromosome	protein_coding	FALSE	t26_2
>CNAG_00032-t26_1	Cryptococcus_neoformans_var._grubii_H99	2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase	2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase	CP003820.1:96969-97867(+)	2495	chromosome	protein_coding	FALSE	t26_1
>CNAG_00033-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein	hypothetical protein	CP003820.1:99045-99578(-)	480	chromosome	protein_coding	FALSE	t26_1
>CNAG_00034-t26_1	Cryptococcus_neoformans_var._grubii_H99	large subunit ribosomal protein L9e	large subunit ribosomal protein L9e	CP003820.1:101235-102263(+)	1037	chromosome	protein_coding	FALSE	t26_1
>CNAG_00035-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein	hypothetical protein	CP003820.1:106378-108225(+)	3383	chromosome	protein_coding	FALSE	t26_1
>CNAG_00036-t26_1	Cryptococcus_neoformans_var._grubii_H99	SEC14 cytosolic factor	SEC14 cytosolic factor	CP003820.1:108971-110289(-)	1122	chromosome	protein_coding	FALSE	t26_1
>CNAG_00038-t26_1	Cryptococcus_neoformans_var._grubii_H99	Alcohol dehydrogenase	Alcohol dehydrogenase	CP003820.1:114073-115545(-)	2092	chromosome	protein_coding	FALSE	t26_1
>CNAG_00039-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein	hypothetical protein	CP003820.1:120725-123282(+)	3752	chromosome	protein_coding	FALSE	t26_1
>CNAG_00040-t26_1	Cryptococcus_neoformans_var._grubii_H99	cytochrome P450, family 51 (sterol 14- demethylase)	cytochrome P450, family 51 (sterol 14- demethylase)	CP003820.1:124079-126188(+)	2005	chromosome	protein_coding	FALSE	t26_1
>CNAG_00043-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein, hypothetical protein, variant	hypothetical protein	CP003820.1:130356-132334(-)	3328	chromosome	protein_coding	FALSE	t26_1
>CNAG_00043-t26_2	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein, hypothetical protein, variant	hypothetical protein, variant	CP003820.1:130356-132334(-)	3344	chromosome	protein_coding	FALSE	t26_2
>CNAG_00044-t26_1	Cryptococcus_neoformans_var._grubii_H99	ribosome assembly protein 1	ribosome assembly protein 1	CP003820.1:132596-136282(+)	3624	chromosome	protein_coding	FALSE	t26_1
>CNAG_00045-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein	hypothetical protein	CP003820.1:136430-137824(-)	1443	chromosome	protein_coding	FALSE	t26_1
>CNAG_00046-t26_1	Cryptococcus_neoformans_var._grubii_H99	26S proteasome regulatory subunit N8	26S proteasome regulatory subunit N8	CP003820.1:138102-139471(+)	1324	chromosome	protein_coding	FALSE	t26_1
>CNAG_00047-t26_1	Cryptococcus_neoformans_var._grubii_H99	pyruvate dehydrogenase kinase	pyruvate dehydrogenase kinase	CP003820.1:139704-141787(-)	1723	chromosome	protein_coding	FALSE	t26_1
>CNAG_00048-t26_1	Cryptococcus_neoformans_var._grubii_H99	Sugar transporter	Sugar transporter	CP003820.1:142313-144363(-)	2166	chromosome	protein_coding	FALSE	t26_1
>CNAG_00049-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein	hypothetical protein	CP003820.1:145392-146712(+)	1928	chromosome	protein_coding	FALSE	t26_1
>CNAG_00050-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein	hypothetical protein	CP003820.1:146828-147999(-)	1181	chromosome	protein_coding	FALSE	t26_1
>CNAG_00051-t26_1	Cryptococcus_neoformans_var._grubii_H99	putative set3c deacetylase complex subunit	putative set3c deacetylase complex subunit	CP003820.1:148617-153700(-)	6379	chromosome	protein_coding	FALSE	t26_1
>CNAG_00051-t26_2	Cryptococcus_neoformans_var._grubii_H99	putative set3c deacetylase complex subunit	putative set3c deacetylase complex subunit	CP003820.1:148617-153700(-)	6388	chromosome	protein_coding	FALSE	t26_2
>CNAG_00052-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein	hypothetical protein	CP003820.1:154389-154832(+)	562	chromosome	protein_coding	FALSE	t26_1
>CNAG_00053-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein	hypothetical protein	CP003820.1:155313-156087(+)	789	chromosome	protein_coding	FALSE	t26_1
>CNAG_00054-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein	hypothetical protein	CP003820.1:156291-157146(-)	1124	chromosome	protein_coding	FALSE	t26_1
>CNAG_00055-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein	hypothetical protein	CP003820.1:157520-158796(+)	1384	chromosome	protein_coding	FALSE	t26_1
>CNAG_00056-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein	hypothetical protein	CP003820.1:159196-161332(+)	2248	chromosome	protein_coding	FALSE	t26_1
>CNAG_00057-t26_1	Cryptococcus_neoformans_var._grubii_H99	fructose-1,6-bisphosphatase I	fructose-1,6-bisphosphatase I	CP003820.1:161783-163128(-)	1348	chromosome	protein_coding	FALSE	t26_1
>CNAG_00058-t26_1	Cryptococcus_neoformans_var._grubii_H99	T-complex protein 1 subunit epsilon	T-complex protein 1 subunit epsilon	CP003820.1:163462-166147(-)	1772	chromosome	protein_coding	FALSE	t26_1
>CNAG_00059-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein	hypothetical protein	CP003820.1:166436-167376(+)	906	chromosome	protein_coding	FALSE	t26_1
>CNAG_00060-t26_1	Cryptococcus_neoformans_var._grubii_H99	chaperone regulator, chaperone regulator, variant	chaperone regulator	CP003820.1:167479-169005(-)	1387	chromosome	protein_coding	FALSE	t26_1
>CNAG_00060-t26_2	Cryptococcus_neoformans_var._grubii_H99	chaperone regulator, chaperone regulator, variant	chaperone regulator, variant	CP003820.1:167479-168579(-)	1442	chromosome	protein_coding	FALSE	t26_2
>CNAG_00061-t26_1	Cryptococcus_neoformans_var._grubii_H99	citrate synthase, mitochondrial	citrate synthase, mitochondrial	CP003820.1:169310-170984(+)	2696	chromosome	protein_coding	FALSE	t26_1
>CNAG_00062-t26_1	Cryptococcus_neoformans_var._grubii_H99	26S proteasome regulatory subunit N3	26S proteasome regulatory subunit N3	CP003820.1:172282-174201(-)	1808	chromosome	protein_coding	FALSE	t26_1
>CNAG_00063-t26_1	Cryptococcus_neoformans_var._grubii_H99	Histone H3	Histone H3	CP003820.1:174725-175649(+)	1052	chromosome	protein_coding	FALSE	t26_1
